"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดอันซอริสซุนนะฮ์","MOSQUE","หมู่ 5 ตำบลท่าวาสุกรี อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","+66 82 230 7639","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/94","","","","","DISCOVERED","Ayutthaya expansion 2026-09-26: CICOT directory identifies Ansoris Sunnah Mosque in Tha Wasukri near the historic-city tourism area. Coordinates require controlled review.","","2026-09-26T22:40:00+07:00",""
"มัสยิดอัลฟุรกอน","MOSQUE","หมู่ 1 ตำบลสำเภาล่ม อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13230","พระนครศรีอยุธยา","พระนครศรีอยุธยา","+66 84 111 1848","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/94","","","","","DISCOVERED","Ayutthaya expansion 2026-09-26: CICOT directory identifies Al Furqan Mosque in Samphao Lom. Coordinates require controlled review.","","2026-09-26T22:40:00+07:00",""
"มัสยิดนูรุ้ลอิบาดะห์","MOSQUE","18 ตำบลสำเภาล่ม อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","+66 86 066 2140","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/94","","","","","DISCOVERED","Ayutthaya expansion 2026-09-26: CICOT directory identifies Nurul Ibadah Mosque in Samphao Lom. Coordinates require controlled review.","","2026-09-26T22:40:00+07:00",""
"มัสยิดกุฏีช่อฟ้า","MOSQUE","หมู่ 4 ตำบลคลองตะเคียน อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","+66 35 701 179","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/96","","","","","DISCOVERED","Ayutthaya expansion 2026-09-26: CICOT directory identifies Kudi Chofa Mosque in Khlong Takhian, a historically important Muslim community area. Coordinates require controlled review.","","2026-09-26T22:40:00+07:00",""
"มัสยิดญันนะตุ้ลนาอีม","MOSQUE","หมู่ 1 ตำบลคลองสระบัว อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","+66 86 132 4282","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/94","","","","","DISCOVERED","Ayutthaya expansion 2026-09-26: CICOT directory identifies Jannatul Naim Mosque in Khlong Sa Bua, useful for the northern historic-island tourism area. Coordinates require controlled review.","","2026-09-26T22:40:00+07:00",""
"Krua Muslim Krung Kao Ayutthaya","RESTAURANT","ตำบลบ้านป้อม อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.salamxp.com/krua-muslim-krung-kao-ayutthaya/","salamxp","","","","DISCOVERED","Current SalamXP checked listing explicitly states Muslim-Owned / Self-Declared for this family-style Muslim restaurant in Ban Pom. Use MUSLIM_OWNED; exact street address/coordinate still require review.","Verify exact street address before approval; current reviewed source identifies Ban Pom but the captured page does not expose a full street address.","2026-09-26T22:40:00+07:00",""
"Hatyai Fried Chicken Muhammad Ayutthaya","RESTAURANT","66/3 ถนนอู่ทอง ตำบลท่าวาสุกรี อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","+66 86 344 5566","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.salamxp.com/hatyai-fried-chicken-muhammad-ayutthaya/","salamxp","","","","DISCOVERED","Current SalamXP checked listing explicitly states Muslim-Owned / Self-Declared for Hatyai Fried Chicken Muhammad Ayutthaya; current Wongnai Branch 2 confirms the 66/3 U Thong Road identity opposite Wat Thammikarat. Use MUSLIM_OWNED.","","2026-09-26T22:40:00+07:00",""
"Wanida Halal Food","RESTAURANT","ทางหลวง 347 ใกล้แยกวรเชษฐ์ ตำบลบ้านป้อม อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","+66 86 532 0034","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://go.ayutthaya.go.th/restaurants/wanida-halal-food/","provincial_tourism","","","","DISCOVERED","Official Ayutthaya provincial tourism site identifies Wanida Halal Food as a well-known halal restaurant with prayer rooms and a halal sign. No current official certificate number is attached to this seed; keep MUSLIM_FRIENDLY rather than HALAL_CERTIFIED.","","2026-09-26T22:40:00+07:00",""
"ร้านบังลิก (ยีเลาะห์ เจ้าเก่า) อาหารมุสลิม อยุธยา","RESTAURANT","61 หมู่ 3 ถนนศรีสรรเพชญ์ ตำบลประตูชัย อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","+66 63 140 4163","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/525545YJ-ร้านบังลิก-ยีเลาะห์-เจ้าเก่า-อาหารมุสลิม-อยุธยา","wongnai","","","","DISCOVERED","Current official Wongnai listing identifies Bang Lik as an active Muslim/halal restaurant at 61 Moo 3 Si Sanphet Road. Ownership is not explicitly established by the reviewed source; keep MUSLIM_FRIENDLY.","","2026-09-26T22:40:00+07:00",""
"บังจิมข้าวไก่ทอดอยุธยา","RESTAURANT","69/1 หมู่ 6 ซอย 3 ตำบลสำเภาล่ม อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/2310770QO-บังจิมข้าวไก่ทอดอยุธยา-อยุธยา","wongnai","","","","DISCOVERED","Current Wongnai listing identifies Bangjim Muslim Food Ayutthaya as an active Muslim/halal restaurant near a mosque in Samphao Lom. Ownership is not explicitly established in the reviewed source; keep MUSLIM_FRIENDLY.","","2026-09-26T22:40:00+07:00",""
"Vanida Halal Resort","ACCOMMODATION","80/1 หมู่ 10 ตำบลบ้านป้อม อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","+66 66 101 9695","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.agoda.com/vanida-halal-resort/hotel/ayutthaya-th.html","agoda","","","","DISCOVERED","Current Agoda data confirms the operating Vanida Halal Resort at 80/1 Moo 10 Ban Pom; current reviews explicitly describe it as a Muslim hotel, and government-open-data company records show VANIDA HALAL RESORT CO., LTD. remains operating. Without a current official halal certificate number/scope attached, keep MUSLIM_FRIENDLY rather than certified.","","2026-09-26T22:40:00+07:00",""
"sala ayutthaya","ACCOMMODATION","9/2 หมู่ 4 ถนนอู่ทอง ตำบลประตูชัย อำเภอพระนครศรีอยุธยา พระนครศรีอยุธยา 13000","พระนครศรีอยุธยา","พระนครศรีอยุธยา","+66 35 242 588","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/sala-ayutthaya.th.html","booking","","","","DISCOVERED","Current Booking property data lists halal breakfast among dietary options. The hotel also has a bar and no Muslim ownership/certification is established here, so classify only as MUSLIM_FRIENDLY.","","2026-09-26T22:40:00+07:00",""
"RUS Hotel & Convention Ayutthaya","ACCOMMODATION","พระนครศรีอยุธยา","พระนครศรีอยุธยา","พระนครศรีอยุธยา","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/rus-amp-convention-ayutthaya.html","booking","","","","DISCOVERED","Current Booking property data explicitly lists halal dietary options at the onsite breakfast restaurant. The hotel also has a bar; no Muslim ownership or official halal certificate number is attached. Keep MUSLIM_FRIENDLY.","Verify exact street address before approval; reviewed source confirms the current property but captured data does not include full street address.","2026-09-26T22:40:00+07:00",""
