"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดตออะติ้ลละฮ์ (พัทยาใต้)","MOSQUE","58 หมู่ 10 ตำบลหนองปรือ อำเภอบางละมุง ชลบุรี 20260","บางละมุง","ชลบุรี","+66 89 938 8786","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/209","","","","","DISCOVERED","Chonburi/Pattaya expansion 2026-09-26: CICOT directory identifies Toatillah Mosque in South Pattaya at 58 Moo 10, Nong Prue, Bang Lamung. Coordinates require controlled review.","","2026-09-26T21:20:00+07:00",""
"มัสยิดดารุ้ลอิบาดะฮ์ (พัทยากลาง)","MOSQUE","หมู่ 9 ตำบลหนองปรือ อำเภอบางละมุง ชลบุรี 20260","บางละมุง","ชลบุรี","+66 81 314 5518","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/490/5/มัสยิดดารุ้ลอิบาดะฮ์-พัทยากลาง","","","","","DISCOVERED","Chonburi/Pattaya expansion 2026-09-26: CICOT detail page identifies Darul Ibadah Mosque in Central Pattaya, Moo 9 Nong Prue. Coordinates require controlled review.","","2026-09-26T21:20:00+07:00",""
"มัสยิดนูรุลยากีน","MOSQUE","หมู่ 5 ตำบลหนองปรือ อำเภอบางละมุง ชลบุรี 20150","บางละมุง","ชลบุรี","+66 89 544 0110","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/209","","","","","DISCOVERED","Chonburi/Pattaya expansion 2026-09-26: CICOT directory identifies Nurul Yaqin Mosque in Nong Prue, Bang Lamung. Coordinates require controlled review.","","2026-09-26T21:20:00+07:00",""
"มัสยิดฮิดาย่าตุสซาลีกีน","MOSQUE","133 หมู่ 6 ตำบลนาเกลือ อำเภอบางละมุง ชลบุรี 20150","บางละมุง","ชลบุรี","+66 89 247 8358","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/209","","","","","DISCOVERED","Chonburi/Pattaya expansion 2026-09-26: CICOT directory identifies Hidayatus Salikin Mosque at 133 Moo 6, Naklua, Bang Lamung. Coordinates require controlled review.","","2026-09-26T21:20:00+07:00",""
"มัสยิดกลางประจำจังหวัดชลบุรี","MOSQUE","17/40 ตำบลบ้านสวน อำเภอเมืองชลบุรี ชลบุรี 20000","เมืองชลบุรี","ชลบุรี","+66 95 239 0541","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/209","","","","","DISCOVERED","Chonburi/Pattaya expansion 2026-09-26: CICOT directory identifies Chonburi Central Mosque at 17/40 Ban Suan, Mueang Chonburi. Coordinates require controlled review.","","2026-09-26T21:20:00+07:00",""
"Amir Halal Food","RESTAURANT","60 หมู่ 10 ถนนพัทยาใต้ เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150","บางละมุง","ชลบุรี","+66 63 208 9902","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://wanderlog.com/place/details/1137335/amir-halal-food","wanderlog","","","","DISCOVERED","Current Wanderlog and August 2026 Muslim travel guidance explicitly identify Amir Halal Food as Muslim-owned/family-owned at 60 Moo 10 South Pattaya Road. Keep MUSLIM_OWNED; no official certificate number is attached.","","2026-09-26T21:20:00+07:00",""
"Khamis Zain Halal Restaurant","RESTAURANT","60 ซอยมัสยิดตออะติ้ลละห์ ตำบลหนองปรือ อำเภอบางละมุง ชลบุรี 20260","บางละมุง","ชลบุรี","+66 80 140 6655","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://halalspy.com/halal-food-guide/asia/thailand/","halalspy","","","","DISCOVERED","Current HalalSpy Thailand guide states Khamis Zain is operated by a Muslim family. Current Restaurant Guru confirms the restaurant identity near Toatillah Mosque. Keep MUSLIM_OWNED; no official certificate number is attached.","","2026-09-26T21:20:00+07:00",""
"Ruchi Halal Food Pattaya","RESTAURANT","1 Beach Road เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150","บางละมุง","ชลบุรี","","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.halaltrip.com/restaurant-details/13140/ruchi-halal-food-pattaya/","halaltrip","","","","DISCOVERED","Current HalalTrip listing explicitly marks Ruchi Halal Food Pattaya as a Muslim-owned restaurant. Keep MUSLIM_OWNED; third-party halal-certified wording is not promoted without an official certificate number.","","2026-09-26T21:20:00+07:00",""
"Afza Halal Food Restaurant","RESTAURANT","24/52 หมู่ 5 ตำบลหนองปรือ อำเภอบางละมุง ชลบุรี 20150","บางละมุง","ชลบุรี","+66 81 153 1118","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://gothaitransport.com/your-halal-food-guide-in-pattaya/","public_travel_guide","","","","DISCOVERED","Current July 2026 Pattaya halal guide describes Afza as Muslim-run; Wongnai's official restaurant listing confirms the 24/52 Moo 5 Nong Prue identity and owner-managed listing. Use MUSLIM_OWNED; no official certificate number is attached.","","2026-09-26T21:20:00+07:00",""
"Muslim Seafood Restaurant","RESTAURANT","8/12 หมู่ 6 ตำบลหนองปรือ ชลบุรี","บางละมุง","ชลบุรี","+66 81 953 1678","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.havehalalwilltravel.com/halal-restaurants-in-pattaya-thailand","public_travel_guide","","","","DISCOVERED","August 2026 Muslim travel guide explicitly identifies Muslim Seafood Restaurant as Muslim-owned. The source's locality wording ('Amphoe Laemchabang') is administratively inconsistent with Nong Prue, so keep an address-verification hold before approval.","Verify the 8/12 Moo 6 locality/district wording before approval; source mixes Nong Prue with Laem Chabang.","2026-09-26T21:20:00+07:00",""
