"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดอิตตาติ้ลรอซูล","MOSQUE","หมู่ 10 ตำบลปากแพรก อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000","เมืองกาญจนบุรี","กาญจนบุรี","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/411/4","","","","","DISCOVERED","Kanchanaburi expansion 2026-09-26: CICOT identifies Ittatir Rasul Mosque in Pak Phraek, Mueang Kanchanaburi. Coordinates require controlled review.","","2026-09-26T23:00:00+07:00",""
"มัสยิดกลางประจำจังหวัดกาญจนบุรี","MOSQUE","ถนนแสงชูโต หมู่ 3 ตำบลท่าม่วง อำเภอท่าม่วง กาญจนบุรี 71110","ท่าม่วง","กาญจนบุรี","+66 34 611 48","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/409/4/มัสยิดกลางประจำจังหวัดกาญจนบุรี","","","","","DISCOVERED","Kanchanaburi expansion 2026-09-26: CICOT identifies Kanchanaburi Central Mosque on Saeng Chuto Road, Tha Muang. Coordinates require controlled review.","","2026-09-26T23:00:00+07:00",""
"มัสยิดนูรุ้ลอิสลาม","MOSQUE","488 ถนนแสงชูโต ตำบลท่าเรือ อำเภอท่ามะกา กาญจนบุรี 71120","ท่ามะกา","กาญจนบุรี","+66 83 782 2555","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://cicot.or.th/th/mosque/detail/412/4","","","","","DISCOVERED","Kanchanaburi expansion 2026-09-26: CICOT identifies Nurul Islam Mosque at 488 Saeng Chuto Road, Tha Ruea, Tha Maka. Coordinates require controlled review.","","2026-09-26T23:00:00+07:00",""
"มิสยิดอัลมุฮายีรีน","MOSQUE","หมู่ 3 ตำบลบ้องตี้ อำเภอไทรโยค กาญจนบุรี 71150","ไทรโยค","กาญจนบุรี","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/214","","","","","DISCOVERED","Kanchanaburi expansion 2026-09-26: CICOT directory identifies Al Muhajirin Mosque in Bong Ti, Sai Yok. Coordinates require controlled review.","","2026-09-26T23:00:00+07:00",""
"มัสยิดฏิยาอุ้ลอิสลาม","MOSQUE","หมู่ 2 ตำบลหนองลู อำเภอสังขละบุรี กาญจนบุรี 71240","สังขละบุรี","กาญจนบุรี","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/214","","","","","DISCOVERED","Kanchanaburi expansion 2026-09-26: CICOT directory identifies Diyaul Islam Mosque in Nong Lu, Sangkhla Buri. Coordinates require controlled review.","","2026-09-26T23:00:00+07:00",""
"ดาวุดชา","RESTAURANT","117/2 ถนนแสงชูโต ตำบลบ้านใต้ อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000","เมืองกาญจนบุรี","กาญจนบุรี","+66 86 811 7856","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/367176uR-ดาวุดชา","wongnai","","","","DISCOVERED","Current official Wongnai listing identifies Dawood Cha as an active Muslim/halal restaurant at 117/2 Saeng Chuto Road with current phone and service. Muslim ownership is not explicitly established by the reviewed source; keep MUSLIM_FRIENDLY.","","2026-09-26T23:00:00+07:00",""
"กิสมีโรตี","RESTAURANT","ถนนแสงชูโต ตำบลบ้านเหนือ อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000","เมืองกาญจนบุรี","กาญจนบุรี","+66 80 244 4784","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/967313mC-กิสมีโรตี","wongnai","","","","DISCOVERED","Current official Wongnai listing identifies Kismi Roti as an active Muslim/halal night-market stall with current address and phone. Muslim ownership is not explicitly established; keep MUSLIM_FRIENDLY.","","2026-09-26T23:00:00+07:00",""
"ครัวฮาลาล (บังคาร์ลิส)","RESTAURANT","200/31 หมู่ 10 ตำบลบ้านใต้ อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000","เมืองกาญจนบุรี","กาญจนบุรี","+66 82 990 0806","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/2769872Ho-ครัวฮาลาล-บังคาร์ลิส","wongnai","","","","DISCOVERED","Current official Wongnai listing identifies Halal Kitchen (Bang Kalis) as an active Muslim/halal restaurant at 200/31 Moo 10 Ban Tai. The name alone is not used to infer Muslim ownership; keep MUSLIM_FRIENDLY.","","2026-09-26T23:00:00+07:00",""
"อามีน","RESTAURANT","75 ถนนแสงชูโต ซอย 58 ตำบลบ้านใต้ อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000","เมืองกาญจนบุรี","กาญจนบุรี","+66 97 168 8834","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/708296OS-อามีน","wongnai","","","","DISCOVERED","Current official Wongnai listing identifies Amin as an active Muslim/halal restaurant at 75 Saeng Chuto Soi 58. Muslim ownership is not explicitly established in the reviewed source; keep MUSLIM_FRIENDLY.","","2026-09-26T23:00:00+07:00",""
"Sanctuary Kanchanaburi","ACCOMMODATION","ตำบลลุ่มสุ่ม อำเภอไทรโยค กาญจนบุรี","ไทรโยค","กาญจนบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/sanctuary-kanchanaburi-tambon-lum-sum.html","booking","","","","DISCOVERED","Current Booking property data explicitly lists halal breakfast and halal dietary options at the onsite restaurant. Muslim ownership and official halal certification are not established; keep MUSLIM_FRIENDLY. Exact street address requires reconciliation before approval.","Verify exact street address before approval; reviewed property data identifies Lum Sum/Sai Yok but not a complete street address.","2026-09-26T23:00:00+07:00",""
