"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดกลางประจำจังหวัดขอนแก่น","MOSQUE","279 ถนนมิตรภาพ ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000","เมืองขอนแก่น","ขอนแก่น","+66 81 047 1118","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/214","","","","","DISCOVERED","Khon Kaen expansion 2026-09-26: CICOT directory lists the provincial central mosque in Nai Mueang, Mueang Khon Kaen. Coordinates require controlled review.","","2026-09-26T22:20:00+07:00",""
"มัสยิดนูรุลฮิดายะฮ์","MOSQUE","20/32 ถนนทุ่งกสิกรทุ่งสร้าง ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000","เมืองขอนแก่น","ขอนแก่น","+66 81 739 7739","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/214","","","","","DISCOVERED","Khon Kaen expansion 2026-09-26: CICOT directory lists Nurul Hidayah Mosque in Nai Mueang, Mueang Khon Kaen. Coordinates require controlled review.","","2026-09-26T22:20:00+07:00",""
"มัสยิดดารุลอามาน","MOSQUE","107/2 ม.2 ต.บ้านไผ่ อ.บ้านไผ่ จ.ขอนแก่น 40110","บ้านไผ่","ขอนแก่น","+66 88 861 1423","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/214","","","","","DISCOVERED","Khon Kaen expansion 2026-09-26: CICOT directory lists Darul Aman Mosque in Ban Phai. Coordinates require controlled review.","","2026-09-26T22:20:00+07:00",""
"มัสยิดนูรุ้ลรอฮีม","MOSQUE","ถนนสุขาภิบาลแตงโม ต.หนองเรือ อ.หนองเรือ จ.ขอนแก่น 40120","หนองเรือ","ขอนแก่น","+66 89 623 6193","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/214","","","","","DISCOVERED","Khon Kaen expansion 2026-09-26: CICOT directory lists Nurul Rahim Mosque in Nong Ruea. Coordinates require controlled review.","","2026-09-26T22:20:00+07:00",""
"มัสยิดยามาตุ้ลอิสลาม","MOSQUE","24/2 ม.13 ถนนสำราญวารี ต.ชุมแพ อ.ชุมแพ จ.ขอนแก่น 40130","ชุมแพ","ขอนแก่น","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/214","","","","","DISCOVERED","Khon Kaen expansion 2026-09-26: CICOT directory lists Yamatul Islam Mosque in Chum Phae. Coordinates require controlled review.","","2026-09-26T22:20:00+07:00",""
"อาหารอิสลามสุไบด๊ะห์","RESTAURANT","1/42 ถนนมิตรภาพ ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000","เมืองขอนแก่น","ขอนแก่น","+66 87 229 9474","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/23600cA-%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%B4%E0%B8%AA%E0%B8%A5%E0%B8%B2%E0%B8%A1%E0%B8%AA%E0%B8%B8%E0%B9%84%E0%B8%9A%E0%B8%94%E0%B9%8A%E0%B8%B0%E0%B8%AB%E0%B9%8C","wongnai","","","","DISCOVERED","Current Wongnai/YellowPages data identify this as an active Muslim/Halal restaurant. Muslim ownership is not promoted without an explicit owner-source record; no current official certificate number is attached.","","2026-09-26T22:20:00+07:00",""
"ก๋วยเตี๋ยวกระดูกเสือ ฮาลาล ขอนแก่น","RESTAURANT","15/22 ม.14 ถนนมิตรภาพ ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000","เมืองขอนแก่น","ขอนแก่น","+66 94 530 9086","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/627839Wr-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B9%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B8%B7%E0%B8%AD-%E0%B8%AE%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%A5-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99","wongnai","","","","DISCOVERED","Current Wongnai listing marks this active venue as Muslim/Halal and provides a current address. Keep MUSLIM_FRIENDLY until stronger ownership or official certificate evidence is attached.","","2026-09-26T22:20:00+07:00",""
"รีนา อาหารฮาลาล","RESTAURANT","87 ม.13 หมู่บ้านพรสวรรค์ ซอยพรสวรรค์ 5 ถนนเหล่านาดี ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น","เมืองขอนแก่น","ขอนแก่น","+66 85 742 6195","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/3695041Vx-%E0%B8%A3%E0%B8%B5%E0%B8%99%E0%B8%B2-%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%AE%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%A5-%D8%B1%D9%8A%D9%86%D8%A7-%D8%AE%D9%84%D8%A7%D9%86-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99","wongnai","","","","DISCOVERED","Current Wongnai listing and owner message describe the food as halal and list active opening hours. This still does not establish a current official certificate number; keep MUSLIM_FRIENDLY.","","2026-09-26T22:20:00+07:00",""
"Tonwa Resort Hotel","ACCOMMODATION","Khon Kaen, Thailand","เมืองขอนแก่น","ขอนแก่น","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/tonwa-resort.html","booking","","","","DISCOVERED","Current Booking property data explicitly lists halal dietary options at the on-site restaurant. This supports MUSLIM_FRIENDLY only, not Muslim ownership or whole-property certification.","","2026-09-26T22:20:00+07:00",""
"Avani Khon Kaen Hotel & Convention Centre","ACCOMMODATION","999 หมู่ 4 ถนนประชาสโมสร ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000","เมืองขอนแก่น","ขอนแก่น","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.trip.com/hotels/khon-kaen-hotel-detail-711148/avani-khon-kaen-hotel-and-convention-centre/","trip.com","","","","DISCOVERED","Current 2026 Trip.com property data explicitly lists halal meals provided. Keep MUSLIM_FRIENDLY; this is not a whole-property halal certification claim.","","2026-09-26T22:20:00+07:00",""
