"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดกลางประจำจังหวัดกระบี่","MOSQUE","67 หมู่ 2 ถนนเพชรเกษม ตำบลไสไทย อำเภอเมืองกระบี่ กระบี่ 81000","เมืองกระบี่","กระบี่","+66 81 080 2782","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://cicot.or.th/th/mosque/lists/234","","","","","DISCOVERED","Krabi expansion 2026-09-26: CICOT directory identifies Krabi Central Mosque at 67 Moo 2, Phetkasem Road, Sai Thai. Coordinates require controlled review.","","2026-09-26T20:45:00+07:00",""
"มัสยิดบ้านช่องพลี (นูริ้นหยันน๊ะ)","MOSQUE","หมู่ 1 ถนนกระบี่-เขาทอง ตำบลอ่าวนาง อำเภอเมืองกระบี่ กระบี่ 81000","เมืองกระบี่","กระบี่","+66 89 467 522","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://cicot.or.th/th/mosque/lists/234","","","","","DISCOVERED","Krabi expansion 2026-09-26: CICOT directory identifies Ban Chong Phli Mosque in Ao Nang. Coordinates require controlled review.","","2026-09-26T20:45:00+07:00",""
"มัสยิดบ้านเกาะพีพี","MOSQUE","หมู่ 7 ตำบลอ่าวนาง อำเภอเมืองกระบี่ กระบี่ 81000","เมืองกระบี่","กระบี่","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://cicot.or.th/th/mosque/lists/234","","","","","DISCOVERED","Krabi expansion 2026-09-26: CICOT directory identifies the mosque on Ko Phi Phi, Ao Nang. Coordinates require controlled review.","","2026-09-26T20:45:00+07:00",""
"มัสยิดบ้านหนองทะเล","MOSQUE","540 หมู่ 1 ถนนกระบี่-เขาทอง ตำบลหนองทะเล อำเภอเมืองกระบี่ กระบี่ 81000","เมืองกระบี่","กระบี่","+66 84 447 6492","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/238","","","","","DISCOVERED","Krabi expansion 2026-09-26: CICOT directory identifies Ban Nong Thale Mosque at 540 Moo 1 on Krabi-Khao Thong Road. Coordinates require controlled review.","","2026-09-26T20:45:00+07:00",""
"มัสยิดบ้านอ่าวน้ำเมา","MOSQUE","22 หมู่ 5 ถนนกระบี่-สุสานหอย ตำบลไสไทย อำเภอเมืองกระบี่ กระบี่ 81000","เมืองกระบี่","กระบี่","+66 81 262 9894","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://cicot.or.th/th/mosque/lists/237","","","","","DISCOVERED","Krabi expansion 2026-09-26: CICOT directory identifies Ban Ao Nam Mao Mosque at 22 Moo 5, Sai Thai. Coordinates require controlled review.","","2026-09-26T20:45:00+07:00",""
"Basmati Restaurant","RESTAURANT","439 หมู่ 5 ถนนคลองแห้ง ตำบลอ่าวนาง อำเภอเมืองกระบี่ กระบี่ 81180","เมืองกระบี่","กระบี่","+66 65 540 0549","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://wanderlog.com/place/details/6223131","wanderlog","","","","DISCOVERED","Current Wanderlog/Google-review synthesis identifies Basmati as a Muslim-family-run restaurant in Ao Nang. Use MUSLIM_OWNED; no official halal certificate number is attached.","","2026-09-26T20:45:00+07:00",""
"Ocean Hill Krabi (Halal)","RESTAURANT","231 ตำบลหนองทะเล อำเภอเมืองกระบี่ กระบี่ 81180","เมืองกระบี่","กระบี่","+66 87 625 9301","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://wanderlog.com/place/details/8192314/white-sand-cafe","wanderlog","","","","DISCOVERED","Current Wanderlog listing describes Ocean Hill Krabi as a local Muslim-owned restaurant run by a Muslim family. Keep MUSLIM_OWNED; no official certificate number is attached.","","2026-09-26T20:45:00+07:00",""
"Chill Lay Lanta Restaurant","RESTAURANT","G2XW+G5G ตำบลเกาะลันตาใหญ่ อำเภอเกาะลันตา กระบี่ 81150","เกาะลันตา","กระบี่","+66 86 414 8732","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://wanderlog.com/place/details/8664052","wanderlog","","","","DISCOVERED","Current Wanderlog listing explicitly describes Chill Lay Lanta as Muslim-owned and serving halal cuisine. Keep MUSLIM_OWNED until any official certification record is independently attached.","","2026-09-26T20:45:00+07:00",""
"May & Zin Restaurant","RESTAURANT","Holiday Inn Beach Walk, Nopparat Thara Beach, Ao Nang, Mueang Krabi, Krabi 81000","เมืองกระบี่","กระบี่","+66 85 473 5185","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://www.havehalalwilltravel.com/halal-restaurants-krabi-food-muslim","public_travel_guide","","","","DISCOVERED","Current Muslim travel guide identifies May & Zin at Nopparat Thara as Muslim-owned. Keep MUSLIM_OWNED; the surrounding food court may also contain non-halal stalls, so the trust label applies to this restaurant only.","","2026-09-26T20:45:00+07:00",""
"Kuan Nom Saow Restaurant and Viewpoint","RESTAURANT","5Q7J+5W ตำบลทับปริก อำเภอเมืองกระบี่ กระบี่","เมืองกระบี่","กระบี่","","","","MUSLIM_OWNED","PUBLIC_WEB_SOURCE","https://restaurantguru.com/Kuan-Nom-Saow-sunset-restaurant-Thab-Prik","restaurantguru","","","","DISCOVERED","Current Restaurant Guru/Google-review evidence explicitly describes Kuan Nom Saow as Muslim-owned and pork-free. Keep MUSLIM_OWNED; no official certificate number is attached.","","2026-09-26T20:45:00+07:00",""
