"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดดารุ้ลมุตตากีน","MOSQUE","ต.ท่าทราย อ.เมืองนนทบุรี จ.นนทบุรี 11000","เมืองนนทบุรี","นนทบุรี","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/185","","","","","DISCOVERED","Nonthaburi expansion 2026-09-26: CICOT directory lists Darul Muttaqin Mosque in Tha Sai, Mueang Nonthaburi. Coordinates require controlled review.","","2026-09-26T23:59:45+07:00",""
"มัสยิดดารุ๊ลอิสลาม","MOSQUE","ม.2 ต.ท่าทราย อ.เมืองนนทบุรี จ.นนทบุรี 11110","เมืองนนทบุรี","นนทบุรี","02-951-1544","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/883/2/%E0%B8%A1%E0%B8%B1%E0%B8%AA%E0%B8%A2%E0%B8%B4%E0%B8%94%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B9%8A%E0%B8%A5%E0%B8%AD%E0%B8%B4%E0%B8%AA%E0%B8%A5%E0%B8%B2%E0%B8%A1","","","","","DISCOVERED","Nonthaburi expansion 2026-09-26: CICOT detail page confirms Darul Islam Mosque in Tha Sai, Mueang Nonthaburi. Coordinates require controlled review.","","2026-09-26T23:59:45+07:00",""
"มัสยิดท่าอิฐ","MOSQUE","ม.10 ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120","ปากเกร็ด","นนทบุรี","092-941-7747","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/10/2","","","","","DISCOVERED","Nonthaburi expansion 2026-09-26: CICOT directory lists Tha It Mosque in Pak Kret. Coordinates require controlled review.","","2026-09-26T23:59:45+07:00",""
"มัสยิดกลางดารุสสลาม","MOSQUE","ม.4 ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110","บางบัวทอง","นนทบุรี","02-922-6917","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/10/2","","","","","DISCOVERED","Nonthaburi expansion 2026-09-26: CICOT directory lists Darussalam Central Mosque in Bang Bua Thong. Coordinates require controlled review.","","2026-09-26T23:59:45+07:00",""
"มัสยิดประเสริฐอิสลาม","MOSQUE","ม.3 ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120","ปากเกร็ด","นนทบุรี","081-658-0570","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/184","","","","","DISCOVERED","Nonthaburi expansion 2026-09-26: CICOT directory lists Prasert Islam Mosque in Bang Talat, Pak Kret. Coordinates require controlled review.","","2026-09-26T23:59:45+07:00",""
"มุนา โรตี ชา กาแฟนนทบุรี","RESTAURANT","17/19 ถนนราชพฤกษ์ สะพานนนทบุรี 1 ต.บางศรีเมือง อ.เมืองนนทบุรี จ.นนทบุรี","เมืองนนทบุรี","นนทบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/c/40/restaurants?categories=36&regions=716","wongnai","","","","DISCOVERED","Current Wongnai provincial Muslim/Halal directory ranks Muna Roti Tea Coffee Nonthaburi #1 and shows it active. Keep MUSLIM_FRIENDLY without ownership/certificate inference.","","2026-09-26T23:59:45+07:00",""
"ร้านอาหารมุมตัสซ์ MUMTAS","RESTAURANT","360/2 ถนนติวานนท์ ต.ท่าทราย อ.เมืองนนทบุรี จ.นนทบุรี","เมืองนนทบุรี","นนทบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/c/40/restaurants?categories=36&regions=716","wongnai","","","","DISCOVERED","Current Wongnai provincial Muslim/Halal directory lists MUMTAS as active in Mueang Nonthaburi. Keep MUSLIM_FRIENDLY without inferring ownership or certification.","","2026-09-26T23:59:45+07:00",""
"ฮาลาล โอเว่น Halal Oven","RESTAURANT","33 ซอยสถิตย์ยุทธการ 3 ต.ท่าทราย อ.เมืองนนทบุรี จ.นนทบุรี","เมืองนนทบุรี","นนทบุรี","+66 97 164 5053","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/3261136Jq-%E0%B8%AE%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%A5-%E0%B9%82%E0%B8%AD%E0%B9%80%E0%B8%A7%E0%B9%88%E0%B8%99-halal-oven-%E0%B8%82%E0%B8%99%E0%B8%A1-%E0%B9%80%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88-%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%8A%E0%B9%89%E0%B8%B2","wongnai","","","","DISCOVERED","Current Wongnai OFFICIAL listing includes an owner statement describing halal/Muslim food and current opening hours. Keep MUSLIM_FRIENDLY; do not infer official certification.","","2026-09-26T23:59:45+07:00",""
"Bed By Cruise Hotel At Samakkhi-Tivanont","ACCOMMODATION","Nonthaburi, Thailand","เมืองนนทบุรี","นนทบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/bed-by-cruise-samakkhi-tivanont.html","booking","","","","DISCOVERED","Current 2026 Booking property data states the on-site restaurant serves Thai cuisine with halal options. Keep MUSLIM_FRIENDLY; this is service-level evidence.","","2026-09-26T23:59:45+07:00",""
"Bed in Beyt Boutique Hotel","ACCOMMODATION","Nonthaburi, Thailand","เมืองนนทบุรี","นนทบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/bed-in-beyt-boutique.html","booking","","","","DISCOVERED","Current 2026 Booking property data lists halal dietary options at the on-site restaurant. Keep MUSLIM_FRIENDLY without whole-property certification claims.","","2026-09-26T23:59:45+07:00",""
"Regent Ngamwongwan Hotel","ACCOMMODATION","Nonthaburi, Thailand","เมืองนนทบุรี","นนทบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.agoda.com/regent-ngamwongwan-hotel/hotel/nonthaburi-th.html","agoda","","","","DISCOVERED","Current Agoda property data explicitly describes a dedicated halal restaurant. Keep MUSLIM_FRIENDLY; no whole-property halal certificate is claimed.","","2026-09-26T23:59:45+07:00",""
