"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดนูรุ้ลเอี๊ยะห์ซาน","MOSQUE","ม.8 ต.สามพระยา อ.ชะอำ จ.เพชรบุรี 76120","ชะอำ","เพชรบุรี","+66 81 278 6765","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/2566/4/%E0%B8%A1%E0%B8%B1%E0%B8%AA%E0%B8%A2%E0%B8%B4%E0%B8%94%E0%B8%99%E0%B8%B9%E0%B8%A3%E0%B8%B8%E0%B9%89%E0%B8%A5%E0%B9%80%E0%B8%AD%E0%B8%B5%E0%B9%8A%E0%B8%A2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%8B%E0%B8%B2%E0%B8%99","","","","","DISCOVERED","Phetchaburi / Cha-am expansion 2026-09-26: CICOT detail page confirms Nurul Ihsan Mosque in Sam Phraya, Cha-am. Coordinates require controlled review.","","2026-09-26T23:15:00+07:00",""
"มัสยิดดารุัลมุฮาญีรีน","MOSQUE","ม.1 ต.สามพระยา อ.ชะอำ จ.เพชรบุรี 76120","ชะอำ","เพชรบุรี","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/2565/4/%E0%B8%A1%E0%B8%B1%E0%B8%AA%E0%B8%A2%E0%B8%B4%E0%B8%94%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B8%B1%E0%B8%A5%E0%B8%A1%E0%B8%B8%E0%B8%AE%E0%B8%B2%E0%B8%8D%E0%B8%B5%E0%B8%A3%E0%B8%B5%E0%B8%99","","","","","DISCOVERED","Phetchaburi / Cha-am expansion 2026-09-26: CICOT detail page lists Darul Muhajirin Mosque in Sam Phraya, Cha-am. Coordinates require controlled review.","","2026-09-26T23:15:00+07:00",""
"มัสยิดดารุชซอลีฮีน","MOSQUE","ม.1 ต.สามพระยา อ.ชะอำ จ.เพชรบุรี 76120","ชะอำ","เพชรบุรี","+66 87 095 6790","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/2564/4/%E0%B8%A1%E0%B8%B1%E0%B8%AA%E0%B8%A2%E0%B8%B4%E0%B8%94%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B8%E0%B8%8A%E0%B8%8B%E0%B8%AD%E0%B8%A5%E0%B8%B5%E0%B8%AE%E0%B8%B5%E0%B8%99","","","","","DISCOVERED","Phetchaburi / Cha-am expansion 2026-09-26: CICOT detail page confirms Darus Soliheen Mosque in Sam Phraya, Cha-am. Coordinates require controlled review.","","2026-09-26T23:15:00+07:00",""
"มัสยิดยามิอุ้ลอิสลาม (มัสยิดกลาง)","MOSQUE","ม.4 ต.ท่าแร้ง อ.บ้านแหลม จ.เพชรบุรี 76110","บ้านแหลม","เพชรบุรี","+66 32 782 125","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/80","","","","","DISCOVERED","Phetchaburi / Cha-am expansion 2026-09-26: CICOT directory lists Jamiul Islam central mosque in Tha Raeng, Ban Laem. Coordinates require controlled review.","","2026-09-26T23:15:00+07:00",""
"มัสยิดมุสลีฮะห์ตุ้ลอีสลามียะห์","MOSQUE","ม.13 ต.บ้านกุ่ม อ.เมืองเพชรบุรี จ.เพชรบุรี 76000","เมืองเพชรบุรี","เพชรบุรี","+66 88 690 1479","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/81","","","","","DISCOVERED","Phetchaburi / Cha-am expansion 2026-09-26: CICOT directory lists Muslihah Tul Islamiyah Mosque in Ban Kum, Mueang Phetchaburi. Coordinates require controlled review.","","2026-09-26T23:15:00+07:00",""
"ร้านอาหารอิสลามมาเรียม Mariam halal food","RESTAURANT","242/2 ถนนนราธิป ต.ชะอำ อ.ชะอำ จ.เพชรบุรี","ชะอำ","เพชรบุรี","+66 64 072 7033","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/2464539Zw-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%B4%E0%B8%AA%E0%B8%A5%E0%B8%B2%E0%B8%A1%E0%B8%A1%E0%B8%B2%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B21","wongnai","","","","DISCOVERED","Current Wongnai listing marks Mariam Halal Food as active and categorized Muslim/Halal. Keep MUSLIM_FRIENDLY because explicit ownership and current official certificate number are not established by the reviewed source.","","2026-09-26T23:15:00+07:00",""
"อามีนะฮ์ ข้างแมคโครชะอำ","RESTAURANT","119/1 ถนนนราธิป ต.ชะอำ อ.ชะอำ จ.เพชรบุรี","ชะอำ","เพชรบุรี","+66 89 919 6877","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/257933kI-%E0%B8%AD%E0%B8%B2%E0%B8%A1%E0%B8%B5%E0%B8%99%E0%B8%B0%E0%B8%AE%E0%B9%8C-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%A1%E0%B8%84%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%8A%E0%B8%B0%E0%B8%AD%E0%B8%B3","wongnai","","","","DISCOVERED","Current Wongnai listing marks Ameena beside Makro Cha-am as Muslim/Halal and active. Keep MUSLIM_FRIENDLY without inferring Muslim ownership or official certification.","","2026-09-26T23:15:00+07:00",""
"ศูนย์รวมอาหารเช้าฮาลาลเพชรบุรี","RESTAURANT","74/11 หาดเจ้าสำราญ ต.โพไร่หวาน อ.เมืองเพชรบุรี จ.เพชรบุรี","เมืองเพชรบุรี","เพชรบุรี","+66 94 565 3790","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/1808548lB-%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%8A%E0%B9%89%E0%B8%B2%E0%B8%AE%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%A5-%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5","wongnai","","","","DISCOVERED","Current Wongnai listing categorizes Halal Breakfast Center Phetchaburi as Muslim/Halal and shows current opening information. Keep MUSLIM_FRIENDLY without stronger ownership/certificate evidence.","","2026-09-26T23:15:00+07:00",""
"SO/ Sofitel Hua Hin","ACCOMMODATION","115 Moo 7, Bang Kao, Cha-am, Phetchaburi 76120","ชะอำ","เพชรบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/sofitel-so-huahin.html","booking","","","","DISCOVERED","Current 2026 Booking property data lists halal breakfast among breakfast options. This supports MUSLIM_FRIENDLY only and does not establish whole-property halal certification.","","2026-09-26T23:15:00+07:00",""
"Radisson Resort & Spa Hua Hin","ACCOMMODATION","Cha-am, Phetchaburi, Thailand","ชะอำ","เพชรบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/novotel-hua-hin-cha-am.html","booking","","","","DISCOVERED","Current 2026 Booking property data lists halal breakfast among breakfast options. Keep MUSLIM_FRIENDLY; the Hua Hin branding does not change the property's Cha-am location.","","2026-09-26T23:15:00+07:00",""
