"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดอันนูร","MOSQUE","ม.7 ต.เขาจ้าว อ.ปราณบุรี จ.ประจวบคีรีขันธ์ 77120","ปราณบุรี","ประจวบคีรีขันธ์","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/141","","","","","DISCOVERED","Prachuap Khiri Khan / Hua Hin expansion 2026-09-26: CICOT directory lists An Nur Mosque in Khao Chao, Pran Buri. Coordinates require controlled review.","","2026-09-26T22:55:00+07:00",""
"มัสยิดนูรุลอิสลาม","MOSQUE","ม.7 ต.อ่าวน้อย อ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์ 77120","เมืองประจวบคีรีขันธ์","ประจวบคีรีขันธ์","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/141","","","","","DISCOVERED","Prachuap Khiri Khan / Hua Hin expansion 2026-09-26: CICOT directory lists Nurul Islam Mosque in Ao Noi, Mueang Prachuap Khiri Khan. Coordinates require controlled review.","","2026-09-26T22:55:00+07:00",""
"มัสยิดไทย-ปากีสถาน","MOSQUE","ม.3 ต.ทับสะแก อ.ทับสะแก จ.ประจวบคีรีขันธ์ 77130","ทับสะแก","ประจวบคีรีขันธ์","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/141","","","","","DISCOVERED","Prachuap Khiri Khan / Hua Hin expansion 2026-09-26: CICOT directory lists Thai-Pakistan Mosque in Thap Sakae. Coordinates require controlled review.","","2026-09-26T22:55:00+07:00",""
"มัสยิดนูรูสซอลิฮีน","MOSQUE","ม.4 ต.อ่าวน้อย อ.เมืองประจวบคีรีขันธ์ จ.ประจวบคีรีขันธ์ 77000","เมืองประจวบคีรีขันธ์","ประจวบคีรีขันธ์","+66 89 256 0218","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/1597/4","","","","","DISCOVERED","Prachuap Khiri Khan / Hua Hin expansion 2026-09-26: CICOT detail page confirms Nurus Soliheen Mosque in Ao Noi with current directory phone. Coordinates require controlled review.","","2026-09-26T22:55:00+07:00",""
"มัสยิดดารุ้ลอิบาดะห์","MOSQUE","ม.4 ต.ไร่เก่า อ.สามร้อยยอด จ.ประจวบคีรีขันธ์ 77180","สามร้อยยอด","ประจวบคีรีขันธ์","+66 86 712 5973","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/141","","","","","DISCOVERED","Prachuap Khiri Khan / Hua Hin expansion 2026-09-26: CICOT directory lists Darul Ibadah Mosque in Rai Kao, Sam Roi Yot. Coordinates require controlled review.","","2026-09-26T22:55:00+07:00",""
"Bombay Palace Indian Restaurant Huahin","RESTAURANT","27/1 ซอยเดชานุชิต ต.หัวหิน อ.หัวหิน จ.ประจวบคีรีขันธ์ 77110","หัวหิน","ประจวบคีรีขันธ์","+66 87 365 6319","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/598354RH-bombay-palace-indian-restaurant-huahin","wongnai","","","","DISCOVERED","Current Wongnai listing marks Bombay Palace as active and categorized Muslim/Halal. Keep MUSLIM_FRIENDLY because ownership and current official certificate number are not established by the reviewed source.","","2026-09-26T22:55:00+07:00",""
"Mooz Hua Hin Thai&Seafood Halal","RESTAURANT","หัวหิน จ.ประจวบคีรีขันธ์","หัวหิน","ประจวบคีรีขันธ์","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/businesses?categories=40&domain=1&page.size=10&regions=3749&rerank=false","wongnai","","","","DISCOVERED","Current Wongnai provincial halal directory ranks Mooz Hua Hin as an active Muslim/Halal restaurant; current Tripadvisor 2026 halal results also include Mooz Huahin. Exact address requires controlled source review before approval.","Confirm exact street address before approval.","2026-09-26T22:55:00+07:00",""
"ฮาลาลซีฟู้ด@หัวหิน","RESTAURANT","4/233 กอล์ฟวิว ต.หัวหิน อ.หัวหิน จ.ประจวบคีรีขันธ์","หัวหิน","ประจวบคีรีขันธ์","+66 93 010 3277","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/1830258Lh-%E0%B8%AE%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%A5%E0%B8%8B%E0%B8%B5%E0%B8%9F%E0%B8%B9%E0%B9%89%E0%B8%94-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%AB%E0%B8%B4%E0%B8%99","wongnai","","","","DISCOVERED","Current Wongnai listing marks Halal Seafood @ Hua Hin as active and categorized Muslim/Halal. Keep MUSLIM_FRIENDLY without inferring Muslim ownership or official certification.","","2026-09-26T22:55:00+07:00",""
"Hua Hin Marriott Resort and Spa","ACCOMMODATION","107/1 Phetkasem Road, Hua Hin, Prachuap Khiri Khan 77110","หัวหิน","ประจวบคีรีขันธ์","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/hua-hin-marriott-resort-and-spa.html","booking","","","","DISCOVERED","Current 2026 Booking property data lists halal dietary options at Big Fish, Pool Bar and Amber Kitchen. This supports MUSLIM_FRIENDLY service-level evidence only, not whole-property halal certification.","","2026-09-26T22:55:00+07:00",""
"Golden Sea Hua Hin - SHA Extra Plus","ACCOMMODATION","Hua Hin, Prachuap Khiri Khan, Thailand","หัวหิน","ประจวบคีรีขันธ์","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/golden-sea-hun-hin.en-gb.html","booking","","","","DISCOVERED","Current Booking property data lists halal dietary options at the on-site restaurant. Keep MUSLIM_FRIENDLY; this does not establish ownership or whole-property certification.","","2026-09-26T22:55:00+07:00",""
"@T Boutique Hotel","ACCOMMODATION","Prachuap Khiri Khan, Thailand","เมืองประจวบคีรีขันธ์","ประจวบคีรีขันธ์","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.agoda.com/t-boutique-hotel/hotel/prachuap-khiri-khan-th.html","agoda","","","","DISCOVERED","Current Agoda property data explicitly lists a halal restaurant among dining facilities. Keep MUSLIM_FRIENDLY and do not infer Muslim ownership or whole-property certification.","","2026-09-26T22:55:00+07:00",""
