"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดส้ะมีย์อุ้ลฮักก์","MOSQUE","ม.6 ต.เจ็ดเสมียน อ.โพธาราม จ.ราชบุรี 70120","โพธาราม","ราชบุรี","","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/1/4/%E0%B8%A1%E0%B8%B1%E0%B8%AA%E0%B8%A2%E0%B8%B4%E0%B8%94%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81","","","","","DISCOVERED","Ratchaburi expansion 2026-09-26: CICOT directory lists Samiyul Haq Mosque in Chet Samian, Photharam. Coordinates require controlled review.","","2026-09-26T23:35:00+07:00",""
"มัสยิดอัลมาดานี","MOSQUE","ม.7 ต.ธรรมเสน อ.โพธาราม จ.ราชบุรี 70120","โพธาราม","ราชบุรี","+66 86 684 2888","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/1/4/%E0%B8%A1%E0%B8%B1%E0%B8%AA%E0%B8%A2%E0%B8%B4%E0%B8%94%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81","","","","","DISCOVERED","Ratchaburi expansion 2026-09-26: CICOT directory lists Al Madani Mosque in Thammasen, Photharam. Coordinates require controlled review.","","2026-09-26T23:35:00+07:00",""
"มัสยิดมัมบาอิ้ลคอยร๊อต","MOSQUE","ม.3 ต.ดอนตะโก อ.เมืองราชบุรี จ.ราชบุรี 70000","เมืองราชบุรี","ราชบุรี","+66 81 705 2883","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/1/4/%E0%B8%A1%E0%B8%B1%E0%B8%AA%E0%B8%A2%E0%B8%B4%E0%B8%94%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81","","","","","DISCOVERED","Ratchaburi expansion 2026-09-26: CICOT directory lists Mamba-il Khoirot Mosque in Don Tako, Mueang Ratchaburi. Coordinates require controlled review.","","2026-09-26T23:35:00+07:00",""
"มัสยิดบ้านโป่ง","MOSQUE","ม.5 ต.บ้านโป่ง อ.บ้านโป่ง จ.ราชบุรี 70110","บ้านโป่ง","ราชบุรี","+66 86 817 2207","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/1/4/%E0%B8%A1%E0%B8%B1%E0%B8%AA%E0%B8%A2%E0%B8%B4%E0%B8%94%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%81","","","","","DISCOVERED","Ratchaburi expansion 2026-09-26: CICOT directory lists Ban Pong Mosque in Ban Pong. Coordinates require controlled review.","","2026-09-26T23:35:00+07:00",""
"ร้านอาหารไทย-มุสลิม","RESTAURANT","ถนนอุดมศิริ ต.หน้าเมือง อ.เมืองราชบุรี จ.ราชบุรี 70000","เมืองราชบุรี","ราชบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/103556Sr-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%84%E0%B8%97%E0%B8%A2-%E0%B8%A1%E0%B8%B8%E0%B8%AA%E0%B8%A5%E0%B8%B4%E0%B8%A1","wongnai","","","","DISCOVERED","Current Wongnai listing marks Thai-Muslim Restaurant active and #1 in the province's Muslim/Halal category. Ownership and official certificate are not inferred.","","2026-09-26T23:35:00+07:00",""
"LittleSun Halal","RESTAURANT","399/18 ม.4 ต.ปากแรต อ.บ้านโป่ง จ.ราชบุรี","บ้านโป่ง","ราชบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/3898228wK-littlesun-halal","wongnai","","","","DISCOVERED","Current Wongnai OFFICIAL listing marks LittleSun Halal as active in Ban Pong. Keep MUSLIM_FRIENDLY without inferring ownership or certification.","","2026-09-26T23:35:00+07:00",""
"ฟาตีเมาะห์ฮาลาลฟู้ด","RESTAURANT","6/1 โพธิ์คู่ ต.ปากแรต อ.บ้านโป่ง จ.ราชบุรี","บ้านโป่ง","ราชบุรี","+66 82 849 1875","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/1907435ch-%E0%B8%9F%E0%B8%B2%E0%B8%95%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B9%8C%E0%B8%AE%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%A5%E0%B8%9F%E0%B8%B9%E0%B9%89%E0%B8%94","wongnai","","","","DISCOVERED","Current Wongnai OFFICIAL listing marks Fatimah Halal Food active daily in Ban Pong. Keep MUSLIM_FRIENDLY; no official certificate number is attached.","","2026-09-26T23:35:00+07:00",""
"ร้านอาหารซีรีนสวนผึ้ง-ฮาลาลสวนผึ้ง","RESTAURANT","อ.สวนผึ้ง จ.ราชบุรี","สวนผึ้ง","ราชบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants?categories=40&domain=1&page.number=1&page.size=10&regions=5639&rerank=false","wongnai","","","","DISCOVERED","Current Wongnai provincial Muslim/Halal directory lists Serene Suan Phueng Halal as an active restaurant candidate. Exact street address requires controlled source review.","Confirm exact street address before approval.","2026-09-26T23:35:00+07:00",""
"บ้านกลางสวนผึ้ง","ACCOMMODATION","190 ม.5 ต.ท่าเคย อ.สวนผึ้ง จ.ราชบุรี 70180","สวนผึ้ง","ราชบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/baanklaangswnphueng.html","booking","","","","DISCOVERED","Current 2026 Booking property data explicitly lists halal breakfast among breakfast options. Keep MUSLIM_FRIENDLY; this is not whole-property certification.","","2026-09-26T23:35:00+07:00",""
"Hi-scene Resort","ACCOMMODATION","สวนผึ้ง จ.ราชบุรี","สวนผึ้ง","ราชบุรี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/hi-scene-resort.html","booking","","","","DISCOVERED","Current 2026 Booking property data explicitly lists halal breakfast. Keep MUSLIM_FRIENDLY without ownership or whole-property certification claims.","","2026-09-26T23:35:00+07:00",""
