"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดอัลเกาษัร","MOSQUE","ต.บางพึ่ง อ.พระประแดง จ.สมุทรปราการ 10270","พระประแดง","สมุทรปราการ","+66 81 735 9822","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/7","","","","","DISCOVERED","Samut Prakan expansion 2026-09-26: CICOT lists Al Kauthar Mosque in Bang Phueng, Phra Pradaeng. Coordinates require controlled review.","","2026-09-26T23:59:30+07:00",""
"มัสยิดดารุ้ลมูฮาญีรีน","MOSQUE","ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540","บางเสาธง","สมุทรปราการ","+66 89 128 3394","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/7","","","","","DISCOVERED","Samut Prakan expansion 2026-09-26: CICOT lists Darul Muhajirin Mosque in Bang Sao Thong. Coordinates require controlled review.","","2026-09-26T23:59:30+07:00",""
"มัสยิดมะซ่อตุ๊ดดีนี๊ยะห์","MOSQUE","ม.10 ต.บางเพรียง อ.บางบ่อ จ.สมุทรปราการ 10550","บางบ่อ","สมุทรปราการ","+66 81 588 9754","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/7","","","","","DISCOVERED","Samut Prakan expansion 2026-09-26: CICOT lists Masjid Mazotuddiniah in Bang Phriang, Bang Bo. Coordinates require controlled review.","","2026-09-26T23:59:30+07:00",""
"มัสยิดดารุ้ลนาซีรีน","MOSQUE","ม.10 ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270","เมืองสมุทรปราการ","สมุทรปราการ","+66 84 647 2396","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/7","","","","","DISCOVERED","Samut Prakan expansion 2026-09-26: CICOT lists Darul Nasirin Mosque in Samrong Nuea, Mueang Samut Prakan. Coordinates require controlled review.","","2026-09-26T23:59:30+07:00",""
"มัสยิดยามีอุ้ลมุมีนีน","MOSQUE","ต.ท้ายบ้านใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270","เมืองสมุทรปราการ","สมุทรปราการ","+66 87 090 4623","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/7","","","","","DISCOVERED","Samut Prakan expansion 2026-09-26: CICOT lists Jamiul Muminin Mosque in Thai Ban Mai, Mueang Samut Prakan. Coordinates require controlled review.","","2026-09-26T23:59:30+07:00",""
"อันนา Halal","RESTAURANT","HQRF+JC ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ","บางเสาธง","สมุทรปราการ","+66 98 398 9755","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/1279851XE-%E0%B8%AD%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B8%B2-halal-%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%8B%E0%B8%AD%E0%B8%A2-c5","wongnai","","","","DISCOVERED","Current Wongnai OFFICIAL listing marks Anna Halal active and Muslim/Halal; the owner states the restaurant is Islamic and pork-free. Keep MUSLIM_FRIENDLY without inferring certification.","","2026-09-26T23:59:30+07:00",""
"Chamuss | ชามัส","RESTAURANT","333/231 ม.12 ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ","บางพลี","สมุทรปราการ","+66 91 599 9196","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/2888269Ni-food-good-health","wongnai","","","","DISCOVERED","Current Wongnai OFFICIAL listing includes an owner statement that every menu item is halal and suitable for Muslims. Keep MUSLIM_FRIENDLY until stronger ownership/certificate evidence is attached.","","2026-09-26T23:59:30+07:00",""
"นายน้อย โรตีหอม ตลาดแม่สไบทอง","RESTAURANT","85/89 ตลาดแม่สไบทอง ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ","บางพลี","สมุทรปราการ","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/393593gN-%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%A2-%E0%B9%82%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%AB%E0%B8%AD%E0%B8%A1-%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%AA%E0%B9%84%E0%B8%9A%E0%B8%97%E0%B8%AD%E0%B8%87","wongnai","","","","DISCOVERED","Current Wongnai OFFICIAL listing categorizes Nai Noi Roti Hom as Muslim/Halal and shows current operating hours. Keep MUSLIM_FRIENDLY.","","2026-09-26T23:59:30+07:00",""
"Carnation Residence","ACCOMMODATION","สมุทรปราการ ประเทศไทย","เมืองสมุทรปราการ","สมุทรปราการ","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/orngaerm-khaarenchan-erschiednth.html","booking","","","","DISCOVERED","Current Booking property data lists halal dietary options at the on-site restaurant. Keep MUSLIM_FRIENDLY; this is service-level evidence, not whole-property certification.","","2026-09-26T23:59:30+07:00",""
"บ้านรังนก The Bird Nest Homestay & Coffeeshop","ACCOMMODATION","สมุทรปราการ ประเทศไทย","เมืองสมุทรปราการ","สมุทรปราการ","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/baanrangnk-the-bird-nest-homestay-amp-coffeeshop.html","booking","","","","DISCOVERED","Current Booking property data explicitly lists halal breakfast among breakfast options. Keep MUSLIM_FRIENDLY without ownership or whole-property certification claims.","","2026-09-26T23:59:30+07:00",""
