"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดกลางประจำจังหวัดสุราษฎร์ธานี","MOSQUE","ตำบลตลาด อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000","เมืองสุราษฎร์ธานี","สุราษฎร์ธานี","+66 84 193 1111","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/4","","","","","DISCOVERED","Surat Thani/Koh Samui expansion 2026-09-26: CICOT directory identifies Surat Thani Central Mosque in Talat, Mueang Surat Thani. Coordinates require controlled review.","","2026-09-26T23:20:00+07:00",""
"มัสยิดนูรุลเอี๊ยะซาน (เกาะสมุย)","MOSQUE","หมู่ 1 ตำบลมะเร็ต อำเภอเกาะสมุย สุราษฎร์ธานี 84140","เกาะสมุย","สุราษฎร์ธานี","+66 89 872 5665","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/3812/6","","","","","DISCOVERED","Surat Thani/Koh Samui expansion 2026-09-26: CICOT identifies Nurul Ihsan Mosque in Maret, Koh Samui. Coordinates require controlled review.","","2026-09-26T23:20:00+07:00",""
"มัสยิดอิกอมาตุ้ลอิสลาม","MOSQUE","หมู่ 3 ตำบลบางกุ้ง อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000","เมืองสุราษฎร์ธานี","สุราษฎร์ธานี","+66 86 267 2077","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/5","","","","","DISCOVERED","Surat Thani/Koh Samui expansion 2026-09-26: CICOT directory identifies Iqomatul Islam Mosque in Bang Kung, Mueang Surat Thani. Coordinates require controlled review.","","2026-09-26T23:20:00+07:00",""
"มัสยิดปูเลามาลายู","MOSQUE","หมู่ 4 ตำบลบ้านใต้ อำเภอเกาะพะงัน สุราษฎร์ธานี 84280","เกาะพะงัน","สุราษฎร์ธานี","+66 81 956 8789","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/3/6","","","","","DISCOVERED","Surat Thani/Koh Samui expansion 2026-09-26: CICOT directory identifies Pulau Melayu Mosque on Koh Phangan. Coordinates require controlled review.","","2026-09-26T23:20:00+07:00",""
"มัสยิดอัสซาลามตุ้ลอัสลามียะห์","MOSQUE","หมู่ 9 ตำบลกรูด อำเภอกาญจนดิษฐ์ สุราษฎร์ธานี 84160","กาญจนดิษฐ์","สุราษฎร์ธานี","+66 81 415 1137","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/4","","","","","DISCOVERED","Surat Thani/Koh Samui expansion 2026-09-26: CICOT directory identifies Assalam Tul Islamiyah Mosque in Krut, Kanchanadit. Coordinates require controlled review.","","2026-09-26T23:20:00+07:00",""
"Noori India Koh Samui","RESTAURANT","17/1 หมู่ 2 ถนนหาดเฉวง ตำบลบ่อผุด อำเภอเกาะสมุย สุราษฎร์ธานี 84320","เกาะสมุย","สุราษฎร์ธานี","+66 77 300 757","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://nooriindia.com/","official_website","","","","DISCOVERED","Current official Noori India website states the restaurant serves halal Indian and Thai dishes at 17/1 Moo 2 Chaweng Beach Road. HalalTrip also marks it halal certified, but no current official CICOT certificate number is attached here; keep MUSLIM_FRIENDLY rather than HALAL_CERTIFIED.","","2026-09-26T23:20:00+07:00",""
"Samui Halal Food Center by Imam Alawee","RESTAURANT","99/16 หมู่ 4 ถนนสนามบิน ตำบลบ่อผุด อำเภอเกาะสมุย สุราษฎร์ธานี 84320","เกาะสมุย","สุราษฎร์ธานี","+66 80 909 6907","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/993758iM-samui-halal-food-center-by-อีหม่ามอาลาวี-เกาะสมุย","wongnai","","","","DISCOVERED","Current Wongnai/Waze/Salaam Thailand data identify this active halal restaurant beside a mosque with matching phone and current hours. A recent review describes it as family-owned, but ownership is not established strongly enough for MUSLIM_OWNED; keep MUSLIM_FRIENDLY.","","2026-09-26T23:20:00+07:00",""
"Bun Hotel Surat Thani","ACCOMMODATION","83/73 หมู่ 3 ตำบลมะขามเตี้ย อำเภอเมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000","เมืองสุราษฎร์ธานี","สุราษฎร์ธานี","+66 77 437 1335","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/bun.html","booking","","","","DISCOVERED","Current 2026 Booking/Trip.com property data explicitly lists halal dietary options at Bun Hotel's onsite restaurant and halal breakfast. The property also has a bar; no Muslim ownership or official halal certificate number is attached, so keep MUSLIM_FRIENDLY.","","2026-09-26T23:20:00+07:00",""
"Sheraton Samui Resort","ACCOMMODATION","86 หมู่ 3 ถนนเฉวงน้อย ตำบลบ่อผุด อำเภอเกาะสมุย สุราษฎร์ธานี 84320","เกาะสมุย","สุราษฎร์ธานี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://halalbooking.com/en/sheraton-samui-resort/p/31557","halalbooking","","","","DISCOVERED","Current Halalbooking property data records some halal food, alcohol-free room on request, bidet amenities and modest-swimwear-friendly mixed facilities. Keep MUSLIM_FRIENDLY; this is not a whole-property halal certification claim.","","2026-09-26T23:20:00+07:00",""
"Nikki Beach Resort & Spa Koh Samui","ACCOMMODATION","96/3 หมู่ 2 ตำบลลิปะน้อย อำเภอเกาะสมุย สุราษฎร์ธานี 84140","เกาะสมุย","สุราษฎร์ธานี","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/nikki-beach-bungalow-resort.html","booking","","","","DISCOVERED","Current 2026 Booking property data explicitly lists halal dietary options at an onsite restaurant. The property also has a beach club/bar; no Muslim ownership or official certificate number is attached. Keep MUSLIM_FRIENDLY.","","2026-09-26T23:20:00+07:00",""
