"name","place_type","address","district","province","phone","latitude","longitude","proposed_trust_status","source_type","source_reference","external_provider","external_id","certification_number","certification_expires_at","review_state","review_note","review_hold_reason","source_checked_at","coordinate_checked_at"
"มัสยิดทุ่งหวัง","MOSQUE","หมู่ 7 ตำบลควนปริง อำเภอเมืองตรัง ตรัง 92000","เมืองตรัง","ตรัง","+66 89 467 5542","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/188/6","","","","","DISCOVERED","Trang expansion 2026-09-26: CICOT directory identifies Thung Wang Mosque at Moo 7, Khuan Pring, Mueang Trang. Coordinates require controlled review.","","2026-09-26T22:20:00+07:00",""
"มัสยิดไซหนุน","MOSQUE","หมู่ 3 ตำบลควนปริง อำเภอเมืองตรัง ตรัง 92000","เมืองตรัง","ตรัง","+66 81 082 7514","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/188/6","","","","","DISCOVERED","Trang expansion 2026-09-26: CICOT directory identifies Sai Nun Mosque at Moo 3, Khuan Pring, Mueang Trang. Coordinates require controlled review.","","2026-09-26T22:20:00+07:00",""
"มัสยิดปากีสถาน 1","MOSQUE","เทศบาลเมืองกันตัง ตำบลกันตัง อำเภอกันตัง ตรัง 92110","กันตัง","ตรัง","+66 93 221 8845","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/detail/575/6/มัสยิดปากีสถาน-1","","","","","DISCOVERED","Trang expansion 2026-09-26: CICOT identifies Pakistan Mosque 1 in Kantang municipality, Kantang. Coordinates require controlled review.","","2026-09-26T22:20:00+07:00",""
"มัสยิดเกาะมุกด์","MOSQUE","หมู่ 2 ตำบลเกาะลิบง อำเภอกันตัง ตรัง 92110","กันตัง","ตรัง","+66 87 888 1543","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/185/6","","","","","DISCOVERED","Trang expansion 2026-09-26: CICOT directory identifies Ko Muk Mosque at Moo 2, Ko Libong, Kantang. Coordinates require controlled review.","","2026-09-26T22:20:00+07:00",""
"มัสยิดเกาะลิบง","MOSQUE","หมู่ 1 ตำบลเกาะลิบง อำเภอกันตัง ตรัง 92110","กันตัง","ตรัง","+66 89 433 8502","","","UNVERIFIED","PUBLIC_WEB_SOURCE","https://www.cicot.or.th/th/mosque/lists/185/6","","","","","DISCOVERED","Trang expansion 2026-09-26: CICOT directory identifies Ko Libong Mosque at Moo 1, Ko Libong, Kantang. Coordinates require controlled review.","","2026-09-26T22:20:00+07:00",""
"ตัสนีม HALAL FOOD","RESTAURANT","ถนนตรัง-สตูล ตำบลทุ่งยาว อำเภอปะเหลียน ตรัง 92180","ปะเหลียน","ตรัง","+66 80 253 5643","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://makanhalalguide.com/shop/detail/2404","makan_halal_guide","","","","DISCOVERED","Current Makan Halal Guide and Wongnai identify Tasneem as an active Muslim/halal restaurant in Thung Yao with matching phone and hours. Muslim ownership is not explicitly established in the reviewed source, so use MUSLIM_FRIENDLY rather than MUSLIM_OWNED.","","2026-09-26T22:20:00+07:00",""
"ฮานีส สวนอาหารฮาลาล","RESTAURANT","404 ตรัง บริเวณสี่แยกบ้านนา จังหวัดตรัง","เมืองตรัง","ตรัง","+66 88 898 1498","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/243391ak-ฮานีส-สวนอาหารฮาลาล","wongnai","","","","DISCOVERED","Current Wongnai listing identifies Hanees as an active Muslim/halal restaurant with current opening status and phone. Ownership is not explicitly established; keep MUSLIM_FRIENDLY.","","2026-09-26T22:20:00+07:00",""
"ร้านเกาะลิบง สาขาโรงพยาบาลตรัง","RESTAURANT","85/24 โคกขัน ตำบลทับเที่ยง อำเภอเมืองตรัง ตรัง 92000","เมืองตรัง","ตรัง","+66 97 319 9248","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/2029858bo-ร้านเกาะลิบง-สาขาโรงพยาบาลตรัง","wongnai","","","","DISCOVERED","Current official Wongnai listing identifies the Trang Hospital branch as an active Muslim/halal restaurant with delivery and current hours. Ownership is not explicitly established in this reviewed source; keep MUSLIM_FRIENDLY.","","2026-09-26T22:20:00+07:00",""
"ไทยมุสลิม (Thai Muslim Restaurant)","RESTAURANT","ซอยรัษฎา 1 ตำบลทับเที่ยง อำเภอเมืองตรัง ตรัง 92000","เมืองตรัง","ตรัง","+66 75 219 933","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.wongnai.com/restaurants/117354YZ-ไทยมุสลิม","wongnai","","","","DISCOVERED","Current official Wongnai listing identifies Thai Muslim Restaurant as an active Muslim/halal restaurant in Thap Thiang with current hours and phone. Ownership is not explicitly established in the reviewed source; keep MUSLIM_FRIENDLY.","","2026-09-26T22:20:00+07:00",""
"Trang Oasis Waterpark Hotel","ACCOMMODATION","จังหวัดตรัง","ปะเหลียน","ตรัง","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/trang-villa-and-water-park-trang.html","booking","","","","DISCOVERED","Current Booking and Agoda property data explicitly show halal breakfast/dietary options and halal-friendly services. Muslim ownership and official halal certification number are not established; keep MUSLIM_FRIENDLY. Exact street address requires review before approval.","Verify exact street address before approval; current booking data identifies the Palian property but reviewed snippet does not provide a full street address.","2026-09-26T22:20:00+07:00",""
"ระเบียงเลเกาะลิบง โฮมสเตย์","ACCOMMODATION","เกาะลิบง อำเภอกันตัง ตรัง 92110","กันตัง","ตรัง","","","","MUSLIM_FRIENDLY","PUBLIC_WEB_SOURCE","https://www.booking.com/hotel/th/raebiiyngelekaaalibng-ohmsety.html","booking","","","","DISCOVERED","Current Booking property data explicitly states halal breakfast is served daily at this Ko Libong homestay. Muslim ownership is not explicitly established in the reviewed source; keep MUSLIM_FRIENDLY. Exact street/location detail requires map review.","","2026-09-26T22:20:00+07:00",""
